person,food type,> 100k,0 - 20k,20k - 40k,40k - 60k,60k - 80k,80k - 100k
D4,0,0,0,0,0,0,0
D4,1,0,0,0,0,0,0
R2,0,5,5,8,8,10,10
R2,1,0,0,0,0,0,0
R3,0,0,0,0,0,0,0
R3,1,0,30,30,10,10,0
V1,0,0,15,0,0,0,0
V1,1,0,15,0,0,0,0
V3,0,0,50,40,30,25,20
V3,1,0,50,40,30,25,20
V5,0,5,30,30,10,10,5
V5,1,5,30,30,10,10,5
V6,0,0,0,0,0,0,0
V6,1,0,0,0,0,0,0
V7,0,1,6,5,4,3,2
V7,1,1,8,6,4.5,3,2
R1,0,5,30,20,15,15,5
R1,1,5,30,20,15,15,5
F3,0,0,20,20,10,0,0
F3,1,0,20,20,10,0,0
R8,0,60,20,20,20,20,60
R8,1,60,20,20,20,20,60
F2,0,0,20,20,0,0,0
F2,1,0,20,20,0,0,0
D2,0,2,12,12,8,4,2
D2,1,2,12,12,8,4,2
R5,0,0,0,0,0,0,0
R5,1,0,0,0,0,0,0
R7,0,10,35,35,20,20,10
R7,1,10,35,35,20,20,10
F1,0,5,30,25,20,15,10
F1,1,5,30,25,20,15,10
