person,1,2,3,4,5,6,7,8,9,10,11,12,never
D4,0,0.0,0,3.0,3,3.0,3,3.0,7,7.0,7,7.0,10
V1,40,40.0,40,40.0,40,20.0,20,20.0,20,20.0,20,20.0,60
V3,1,2.0,3,4.0,5,6.0,7,8.0,9,10.0,11,12.0,30
V5,10,10.0,10,10.0,20,20.0,20,20.0,20,30.0,30,30.0,30
V6,12,12.0,12,12.0,18,18.0,18,25.0,25,25.0,25,25.0,25
V7,1,1.0,1,1.0,1,1.0,2,2.0,2,2.0,2,2.0,2
R1,15,15.0,15,15.0,30,30.0,30,30.0,30,30.0,30,30.0,30
F3,0,0.0,0,0.0,10,10.0,20,30.0,30,30.0,30,30.0,30
R8,10,10.0,10,10.0,10,10.0,10,10.0,10,20.0,30,50.0,20
F2,20,20.0,25,25.0,30,30.0,30,30.0,30,30.0,30,30.0,30
D2,2,4.0,4,4.0,4,4.0,8,8.0,8,8.0,8,8.0,8
R5,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,9
R7,0,0.0,0,0.0,20,20.0,20,30.0,30,30.0,35,35.0,35
F1,1,2.0,3,4.0,5,6.0,7,8.0,9,10.0,11,12.0,13
