person,0 - 10%,10% - 20%,20% - 30%,30% - 40%,40% - 50%,50% - 60%,60% +
D4,1,1.0,5.0,5.0,10,10.0,10.0
R2,5,5.0,8.0,8.0,10,10.0,10.0
R3,0,15.0,15.0,30.0,30,30.0,30.0
V1,0,0.0,0.0,60.0,60,60.0,60.0
V3,0,0.0,10.0,20.0,25,30.0,40.0
V5,2,10.0,20.0,30.0,30,30.0,40.0
V6,0,0.0,0.0,3.0,3,5.0,5.0
V7,0,0.5,1.0,3.0,4,5.0,5.5
R1,0,15.0,20.0,20.0,20,30.0,30.0
F3,0,0.0,15.0,15.0,30,30.0,30.0
R8,60,20.0,20.0,20.0,20,20.0,60.0
F2,0,0.0,20.0,20.0,20,20.0,20.0
D2,2,2.0,6.0,6.0,8,10.0,10.0
R7,0,20.0,20.0,30.0,30,35.0,35.0
F1,5,10.0,15.0,20.0,25,30.0,35.0
