personID,num_Q,AorB,food,size_A,access_A,income_A,poverty_A,last_donation_A,dist_A,size_B,access_B,income_B,poverty_B,last_donation_B,dist_B,r,kappa,sy,sx,bt_pred
D1,1,A,1,0,2,1,4,10,0,1,2,4,0,10,3,0.28888979869148135,0.1783456734564765,0.23361773607397893,0.05527206261750242,A
D1,2,A,1,4,2,3,1,11,3,1,2,5,1,2,0,0.20796349394096175,0.16120331423850637,0.18458340408973406,0.023380089851227692,A
D1,3,A,1,2,0,0,7,5,3,0,0,3,1,12,0,0.43520527224243927,0.3884450925399839,0.4118251823912116,0.023380089851227692,A
D1,4,A,0,3,2,1,3,1,3,1,1,2,1,9,0,0.4293320745476021,0.3825718948451467,0.4059519846963744,0.023380089851227692,A
D1,5,B,1,2,0,4,0,3,1,2,0,0,6,5,3,0.3262513918423052,-0.295077938707335,0.01558672656748511,0.3106646652748201,B
D1,6,A,0,1,2,5,0,6,0,4,0,4,0,11,2,0.5807482033572071,0.23034861141496588,0.4055484073860865,0.17519979597112062,A
D1,7,A,1,3,2,3,1,9,2,1,0,5,0,0,3,0.5725880910413033,0.5725880910413033,0.5725880910413033,0.0,A
D1,8,B,0,2,1,3,0,3,3,3,2,5,1,0,3,0.31454182473075765,-0.277007392256304,0.018767216237226825,0.2957746084935308,B
D1,9,A,0,3,1,4,0,11,1,3,1,3,1,1,2,0.06269867686908373,-0.0471119503015986,0.007793363283742565,0.05490531358534116,B
D1,10,A,0,1,2,5,0,6,0,1,2,3,1,7,2,0.07987564827143968,-0.04870219513646944,0.015586726567485124,0.06428892170395456,B
D1,11,B,0,1,2,3,1,5,3,2,1,0,4,8,2,0.4227622070665691,-0.03280052624796775,0.19498084040930067,0.22778136665726842,B
D1,12,A,1,4,2,3,1,12,0,3,2,2,1,9,0,0.06465567073611582,0.04588845449888901,0.055272062617502414,0.009383608118613405,A
D1,13,B,0,4,1,3,1,2,1,0,0,0,6,3,3,0.6874151691362744,0.17589646575731652,0.4316558174467955,0.25575935168947894,A
D1,14,A,1,2,2,5,1,3,3,1,0,1,0,1,1,0.5438766079447703,0.43763428986089276,0.4907554489028315,0.05312115904193879,A
D1,15,B,1,1,0,0,1,1,0,1,2,3,0,0,1,0.4714275739249119,-0.30849578771229086,0.08146589310631053,0.3899616808186014,B
D1,16,A,1,2,1,5,1,9,0,1,0,5,0,0,3,0.3191546983447585,0.3191546983447585,0.3191546983447585,0.0,A
D1,17,B,0,0,1,5,1,2,3,0,1,4,1,10,2,0.017176971402355967,-0.017176971402355967,0.0,0.017176971402355967,B
D1,18,A,0,4,1,0,5,12,2,4,1,1,1,0,2,0.1914704299855244,0.1914704299855244,0.1914704299855244,0.0,A
D1,19,B,0,2,0,1,1,9,2,3,1,4,1,7,2,0.2784037273826433,-0.22210207867096285,0.028150824355840223,0.2502529030268031,B
D1,20,B,0,1,1,4,1,11,2,3,2,4,0,5,2,0.35104667111103327,-0.2600032601775778,0.045521705466727735,0.30552496564430554,B
D1,21,B,0,2,1,4,0,10,0,4,2,4,0,3,2,0.32111169221179064,-0.2899382390768204,0.01558672656748511,0.30552496564430554,B
D1,22,B,1,2,2,5,0,3,2,3,1,2,2,12,0,0.3850338648835839,0.004927815935017425,0.19498084040930064,0.19005302447428324,A
D1,23,A,1,4,2,2,1,12,3,2,0,5,1,9,3,0.5286566304094464,0.5286566304094464,0.5286566304094464,0.0,A
D1,24,B,0,1,0,0,4,6,2,3,2,1,1,11,3,0.6542478938561453,-0.346763718251067,0.15374208780253917,0.5005058060536062,B
D1,25,A,0,3,1,1,3,4,2,0,2,5,1,6,1,0.49716823495345963,0.09161982756737311,0.29439403126041636,0.20277420369304328,A
D1,26,A,1,3,1,1,2,9,0,3,1,4,1,3,3,0.09705261967379566,0.09705261967379566,0.09705261967379566,0.0,A
D1,27,B,1,3,0,5,1,12,1,3,2,0,2,3,1,0.48240142687839616,-0.48240142687839616,0.0,0.48240142687839616,B
D1,28,B,1,1,0,1,0,4,2,4,1,4,0,8,2,0.38894785261764814,-0.3326462039059677,0.02815082435584021,0.36079702826180793,B
D1,29,A,0,1,2,1,0,11,1,2,0,5,0,3,0,0.4905615391943,0.36443068739181006,0.42749611329305504,0.06306542590124498,A
D1,30,A,1,4,2,4,0,6,3,1,2,1,3,8,3,0.3305321286085307,0.001100247096483764,0.16581618785250724,0.16471594075602347,A
D1,31,B,1,1,2,0,7,0,3,0,1,4,1,7,1,0.5765042948691084,0.545330841734138,0.5609175683016232,0.015586726567485165,A
D1,32,A,0,4,2,0,5,4,1,1,0,4,1,8,1,0.7753991230124733,0.7753991230124733,0.7753991230124733,0.0,A
D1,33,B,1,4,0,4,0,7,3,4,2,3,1,2,3,0.4448669944039425,-0.4448669944039425,0.0,0.4448669944039425,B
D1,34,B,1,4,0,2,3,2,1,4,2,3,0,8,3,0.5514971319048831,-0.22842622973231963,0.16153545108628176,0.3899616808186014,B
D1,35,B,1,4,0,2,2,2,0,0,1,1,1,10,1,0.478767767748394,0.07003887069256585,0.27440331922047995,0.20436444852791408,A
D1,36,B,0,0,0,3,1,9,1,0,2,1,4,5,0,0.553087376739754,-0.553087376739754,0.0,0.553087376739754,B
D1,37,A,1,4,2,5,1,2,0,1,1,2,1,2,1,0.3967412159013907,0.3404395671897103,0.3685903915455505,0.02815082435584021,A
D1,38,B,0,4,0,2,3,1,0,4,1,0,0,1,2,0.36589989961419583,-0.06159621367885916,0.15215184296766834,0.2137480566465275,B
D1,39,B,0,0,0,4,1,0,3,3,1,5,0,6,3,0.41570234184714905,-0.3058917146764668,0.05490531358534112,0.36079702826180793,B
D1,40,A,1,1,0,1,2,4,2,0,0,1,1,6,0,0.11638049465171528,0.08520704151674503,0.10079376808423016,0.015586726567485124,A
D1,41,A,0,0,2,0,3,6,2,4,0,0,0,7,3,0.7554084109725369,0.31323191003251755,0.5343201605025272,0.22108825047000966,A
D1,42,A,0,2,2,4,1,3,2,2,0,3,1,9,0,0.4149320155046999,0.3649913461325029,0.3899616808186014,0.024970334686098494,A
D1,43,A,0,0,0,1,4,7,0,1,1,4,1,2,0,0.4149688437828265,-0.08553696227077962,0.16471594075602344,0.25025290302680303,B
D1,44,B,0,4,0,3,0,2,0,1,1,1,3,3,1,0.5239227241829606,-0.17670362191046096,0.17360955113624982,0.3503131730467108,B
D1,45,A,1,3,1,4,1,2,1,0,1,1,1,0,0,0.20176037549209003,0.12987200021292444,0.16581618785250724,0.03594418763958279,A
D1,46,B,1,2,0,5,0,8,1,3,0,4,0,7,0,0.07244903401985837,-0.07244903401985837,0.0,0.07244903401985837,B
D1,47,A,0,0,2,0,5,12,0,2,2,2,0,12,3,0.3802999586570981,0.15921170818708844,0.26975583342209325,0.11054412523500483,A
D2,1,A,1,4,0,5,0,6,2,4,0,0,6,2,3,0.37446193182519,-0.2748657637770094,0.049798084024090306,0.3246638478010997,B
D2,2,B,0,0,2,5,1,9,2,4,0,5,0,12,0,0.6132092501677837,0.05665667295523488,0.3349329615615093,0.2782762886062744,A
D2,3,B,0,3,0,2,0,10,0,1,1,1,1,2,2,0.39866357196673957,-0.020791115312284544,0.1889362283272275,0.20972734363951206,B
D2,4,A,0,1,1,1,2,2,3,0,1,4,1,6,3,0.10699988344439092,0.10699988344439092,0.10699988344439092,0.0,A
D2,5,B,0,1,0,1,2,1,1,1,2,4,0,11,3,0.5042562737187731,-0.045881469997321,0.22918740186072606,0.27506887185804707,B
D2,6,B,0,0,2,3,0,11,0,4,2,3,1,0,2,0.3578664871209787,-0.15867415102461746,0.09959616804818061,0.25827031907279807,B
D2,7,B,0,0,1,4,1,3,3,3,1,3,1,0,2,0.19120546524687643,-0.19120546524687643,0.0,0.19120546524687643,B
D2,8,B,1,3,0,4,1,2,1,4,1,1,1,6,0,0.24186560449825834,-0.22213949568701624,0.009863054405621047,0.2320025500926373,B
D2,9,B,0,3,0,3,0,2,3,3,0,2,0,1,2,0.05226384762549557,-0.05226384762549557,0.0,0.05226384762549557,B
D2,10,A,1,1,1,2,1,0,2,2,1,3,1,12,3,0.12405727738047687,0.03471721710142997,0.07938724724095342,0.04467003013952345,A
D2,11,B,0,1,0,4,1,7,1,2,1,1,3,0,0,0.354196493100967,-0.354196493100967,0.0,0.354196493100967,B
D2,12,A,0,2,0,5,0,7,2,1,0,5,1,7,1,0.1469349130628602,-0.05759485278381331,0.04467003013952344,0.10226488292333674,B
D2,13,A,0,0,2,2,1,11,3,1,0,3,0,6,0,0.5339287709761141,0.12114257053847288,0.3275356707572935,0.20639310021882062,A
D2,14,A,0,4,1,1,3,3,2,3,0,0,1,12,0,0.4089261043278678,0.20973376823150658,0.3093299362796872,0.09959616804818061,A
D2,15,B,1,2,0,1,2,1,1,1,2,3,1,3,1,0.37713722809962746,-0.17300051561646668,0.1020683562415804,0.27506887185804707,B
D2,16,B,1,3,0,1,3,4,2,2,2,5,0,1,3,0.5343346735236159,-0.03059765180090975,0.25186851086135303,0.2824661626622628,B
D2,17,B,1,2,0,4,0,11,3,0,2,1,3,9,3,0.5267408560376439,-0.3480607354795501,0.0893400602790469,0.43740079575859697,B
D2,18,B,1,2,2,4,0,6,2,3,1,0,4,0,2,0.4068662432739643,-0.13179737141591724,0.13753443592902354,0.2693318073449408,B
D2,19,A,1,2,1,3,1,11,1,2,0,4,1,5,1,0.1523290175374551,0.12273985432059198,0.13753443592902354,0.014794581608431556,A
D2,20,A,1,3,2,0,2,11,0,1,1,3,0,7,0,0.3416711484121843,0.3219450396009423,0.3318080940065633,0.009863054405621019,A
D2,21,B,1,0,1,2,0,11,2,3,2,0,6,0,0,0.713064887406711,-0.713064887406711,0.0,0.713064887406711,B
D2,22,A,1,0,2,2,3,10,2,4,0,0,2,2,0,0.62553806817481,0.02953327333977704,0.3275356707572935,0.29800239741751644,A
D2,23,A,0,4,2,3,0,8,1,0,1,1,4,3,1,0.5384105700911295,0.09401854288310527,0.3162145564871174,0.2221960136040121,A
D2,24,B,1,3,2,3,0,6,1,4,2,2,2,6,3,0.24919979598619696,-0.05000745988983572,0.09959616804818061,0.14960362793801635,B
D2,25,A,1,4,1,2,2,4,0,3,2,5,1,8,1,0.29433240339750477,0.019263531539457687,0.15679796746848124,0.13753443592902354,A
D2,26,B,0,1,0,4,1,8,1,2,2,0,1,6,1,0.324670429200381,-0.324670429200381,0.0,0.324670429200381,B
D2,27,B,0,2,1,2,2,5,3,4,1,1,1,11,1,0.2561976088349055,-0.12167484781954953,0.06726138050767799,0.1889362283272275,B
D2,28,A,0,4,0,0,7,7,1,2,1,1,2,7,0,0.539006574728393,0.1643415348221653,0.35167405477527913,0.18733251995311384,A
