personID,num_Q,difficulty_score,evidence,AorB,model_prediction,matches_actual,size_A,access_A,income_A,poverty_A,last_donation_A,dist_A,size_B,access_B,income_B,poverty_B,last_donation_B,dist_B
D2,25,2,Because of the organization's size and level of food access.,A,B,False,4.0,1.0,2.0,2.0,4.0,0.0,3.0,2.0,5.0,1.0,8.0,1.0
D2,33,3,"B, because of the level of food access of coffee. Right? Maybe because of the level of food access and the organization size. Well, I guess those are the same.",A,A,True,2.0,2.0,1.0,0.0,10.0,3.0,0.0,1.0,5.0,0.0,10.0,2.0
F1,3,3,"Well, it's kinda weird because how we don't really serve organizations that are not in poverty. Mhmm. So I don't know",A,B,False,3.0,1.0,3.0,1.0,5.0,3.0,3.0,2.0,1.0,0.0,5.0,1.0
F1,4,4,Yes. I would go with this one just because of the travel time. Okay. So I would give it to here.,A,A,True,4.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,3.0,1.0,3.0,3.0
F1,6,3,"I'll do it to here. Yeah. So I would get it here because of the poverty rate, and this is really long.",A,B,False,1.0,0.0,4.0,1.0,10.0,1.0,4.0,0.0,1.0,2.0,4.0,1.0
F1,7,4,Yeah. Yeah. I would still give it To a. B this Travel time.,B,B,True,3.0,0.0,2.0,1.0,12.0,1.0,2.0,1.0,1.0,4.0,7.0,2.0
F1,8,3,"As soon as it hits an hour travel time, it it barely get volunteers Yeah. For Guess I would give it here.",A,B,False,4.0,0.0,5.0,0.0,7.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0
F1,9,3,"Everything seems to be equal. I mean, they are more in poverty. But",B,B,True,3.0,1.0,3.0,1.0,5.0,3.0,4.0,1.0,1.0,4.0,3.0,1.0
F2,2,4,"This is tricky. But wait. This income level is, like, super high. Not a lot of poverty.",B,tie,,1.0,0.0,5.0,0.0,7.0,3.0,0.0,1.0,3.0,1.0,4.0,1.0
F2,3,3,"There's a little bit more poverty that folks are experiencing for recipient a, so I'm gonna do a.",A,A,True,1.0,0.0,3.0,1.0,3.0,1.0,2.0,0.0,4.0,0.0,10.0,2.0
