personID,food,size_A,access_A,income_A,poverty_A,last_donation_A,total_donation_A,dist_A,size_B,access_B,income_B,poverty_B,last_donation_B,total_donation_B,dist_B,num_Q,AorB
D1,1,0,2,1,4,10,76,0,1,2,4,0,10,44,3,1,A
D1,1,4,2,3,1,11,1,3,1,2,5,1,2,26,0,2,A
D1,1,2,0,0,7,5,52,3,0,0,3,1,12,21,0,3,A
D1,0,3,2,1,3,1,58,3,1,1,2,1,9,5,0,4,A
D1,1,2,0,4,0,3,41,1,2,0,0,6,5,32,3,5,B
D1,0,1,2,5,0,6,36,0,4,0,4,0,11,55,2,6,A
D1,1,3,2,3,1,9,76,2,1,0,5,0,0,0,3,7,A
D1,0,2,1,3,0,3,51,3,3,2,5,1,0,0,3,8,B
D1,0,3,1,4,0,11,13,1,3,1,3,1,1,84,2,9,A
D1,0,1,2,5,0,6,5,0,1,2,3,1,7,53,2,10,A
D1,0,1,2,3,1,5,33,3,2,1,0,4,8,67,2,11,B
D1,1,4,2,3,1,12,73,0,3,2,2,1,9,35,0,12,A
D1,0,4,1,3,1,2,32,1,0,0,0,6,3,37,3,13,B
D1,1,2,2,5,1,3,84,3,1,0,1,0,1,38,1,14,A
D1,1,1,0,0,1,1,3,0,1,2,3,0,0,0,1,15,B
D1,1,2,1,5,1,9,84,0,1,0,5,0,0,0,3,16,A
D1,0,0,1,5,1,2,35,3,0,1,4,1,10,90,2,17,B
D1,0,4,1,0,5,12,90,2,4,1,1,1,0,0,2,18,A
D1,0,2,0,1,1,9,12,2,3,1,4,1,7,34,2,19,B
D1,0,1,1,4,1,11,84,2,3,2,4,0,5,19,2,20,B
D1,0,2,1,4,0,10,6,0,4,2,4,0,3,6,2,21,B
D1,1,2,2,5,0,3,27,2,3,1,2,2,12,72,0,22,B
D1,1,4,2,2,1,12,39,3,2,0,5,1,9,52,3,23,A
D1,0,1,0,0,4,6,21,2,3,2,1,1,11,72,3,24,B
D1,0,3,1,1,3,4,47,2,0,2,5,1,6,48,1,25,A
D1,1,3,1,1,2,9,52,0,3,1,4,1,3,45,3,26,A
D1,1,3,0,5,1,12,72,1,3,2,0,2,3,2,1,27,B
D1,1,1,0,1,0,4,34,2,4,1,4,0,8,63,2,28,B
D1,0,1,2,1,0,11,87,1,2,0,5,0,3,60,0,29,A
D1,1,4,2,4,0,6,6,3,1,2,1,3,8,40,3,30,A
D1,1,1,2,0,7,0,0,3,0,1,4,1,7,86,1,31,B
D1,0,4,2,0,5,4,4,1,1,0,4,1,8,8,1,32,A
D1,1,4,0,4,0,7,37,3,4,2,3,1,2,40,3,33,B
D1,1,4,0,2,3,2,42,1,4,2,3,0,8,56,3,34,B
D1,1,4,0,2,2,2,7,0,0,1,1,1,10,22,1,35,B
D1,0,0,0,3,1,9,79,1,0,2,1,4,5,77,0,36,B
D1,1,4,2,5,1,2,59,0,1,1,2,1,2,15,1,37,A
