personID,num_Q,food,size_A,access_A,income_A,poverty_A,last_donation_A,dist_A,size_B,access_B,income_B,poverty_B,last_donation_B,dist_B,AorB,model_prediction,model_score_A,model_score_B
D2,1,1,4,0,5,0,6,2,4,0,0,6,2,3,A,B,15.0,30.0
D2,2,0,0,2,5,1,9,2,4,0,5,0,12,0,B,A,35.0,19.0
D2,6,0,0,2,3,0,11,0,4,2,3,1,0,2,B,A,37.0,34.0
D2,12,0,2,0,5,0,7,2,1,0,5,1,7,1,A,B,20.0,22.0
D2,16,1,3,0,1,3,4,2,2,2,5,0,1,3,B,A,30.0,24.0
D2,23,0,4,2,3,0,8,1,0,1,1,4,3,1,A,B,34.0,40.0
D2,25,1,4,1,2,2,4,0,3,2,5,1,8,1,A,B,31.0,33.0
D2,28,0,4,0,0,7,7,1,2,1,1,2,7,0,A,B,37.0,40.0
D2,30,0,4,2,5,0,0,2,4,0,1,3,9,0,A,B,32.0,33.0
D2,34,1,3,0,4,1,10,0,4,2,3,0,8,2,A,B,20.0,34.0
D2,35,1,4,1,0,0,12,2,2,0,5,1,6,0,B,A,35.0,16.0
D2,37,1,4,0,4,0,0,2,3,0,5,1,4,3,B,A,19.0,13.0
D2,39,0,2,0,4,0,10,2,0,0,3,1,8,1,A,B,20.0,24.0
D2,43,1,4,2,2,1,11,2,1,2,3,1,8,1,B,A,38.0,37.0
F1,3,1,3,1,3,1,5,3,3,2,1,0,5,1,A,B,38.0,48.0
F1,6,1,1,0,4,1,10,1,4,0,1,2,4,1,A,B,42.0,50.0
F1,8,1,4,0,5,0,7,2,2,2,2,1,2,3,A,B,22.0,45.0
F1,13,1,2,1,0,0,4,3,4,0,2,1,10,1,B,A,49.0,46.0
F1,14,1,0,1,3,1,11,0,1,1,2,3,3,0,A,B,53.0,58.0
F1,16,0,4,0,3,1,10,0,1,2,4,1,12,2,A,B,42.0,48.0
F1,18,1,0,2,5,1,0,2,3,2,1,2,2,1,A,B,46.0,55.0
F1,19,1,2,1,4,1,6,0,1,2,3,1,7,2,A,B,39.0,48.0
F1,21,1,0,0,0,2,12,3,3,2,5,1,12,2,B,A,69.0,39.0
F1,22,1,0,1,3,1,4,3,0,2,3,0,3,1,B,A,43.0,42.0
F1,24,0,4,0,4,1,3,2,2,2,1,1,1,3,A,B,28.0,49.0
F1,25,0,4,2,0,1,10,1,2,1,2,1,8,1,B,A,61.0,50.0
F1,29,0,1,1,4,0,6,1,2,2,2,2,1,2,A,B,35.0,50.0
F1,36,1,1,0,4,0,1,0,0,0,4,1,8,2,A,B,29.0,41.0
F1,37,1,2,2,3,1,8,0,4,2,1,4,9,3,A,B,49.0,68.0
F1,41,0,2,2,4,1,9,0,2,0,1,1,7,1,A,B,45.0,52.0
F2,4,1,3,1,5,1,12,1,1,0,4,1,6,1,A,B,40.0,65.0
F2,5,1,1,1,4,0,4,0,3,1,0,6,10,2,B,A,95.0,80.0
F2,6,0,2,1,2,3,5,1,0,2,1,2,8,0,A,B,70.0,140.0
F2,13,1,4,2,3,0,1,1,0,2,0,5,1,1,A,B,40.0,100.0
F2,15,1,0,2,3,0,6,2,3,2,5,1,8,3,B,A,70.0,40.0
F2,18,1,4,1,1,4,7,2,0,0,2,2,6,0,A,B,80.0,105.0
F2,21,0,2,0,0,4,0,1,0,2,3,0,11,0,A,B,85.0,100.0
F2,23,1,1,1,2,3,8,1,0,1,2,3,3,0,A,B,90.0,105.0
F2,24,0,1,1,1,3,0,2,2,0,5,0,11,0,B,A,110.0,75.0
F2,27,0,2,0,5,0,1,0,1,2,2,2,2,2,A,B,65.0,90.0
F2,39,1,2,2,1,2,1,2,2,2,5,1,4,1,B,A,90.0,55.0
F2,43,1,0,0,1,4,9,1,1,2,3,0,6,1,B,A,95.0,80.0
F2,45,0,3,0,5,0,9,1,2,1,1,0,3,1,A,B,35.0,65.0
R1,3,1,1,0,5,0,0,2,0,2,5,0,11,1,A,B,80.0,115.0
R1,4,1,2,2,5,1,4,1,3,1,5,1,11,0,A,B,120.0,130.0
R1,7,0,0,0,1,0,6,1,4,0,4,1,6,1,B,A,110.0,105.0
R1,9,1,0,1,3,1,1,1,1,1,1,4,3,3,B,A,115.0,110.0
R1,11,1,2,0,3,0,10,1,1,1,4,1,8,3,B,A,110.0,105.0
R1,15,1,3,2,5,0,11,1,4,1,2,1,8,2,B,A,125.0,110.0
R1,16,1,4,2,3,0,11,2,0,2,5,0,0,2,B,A,105.0,100.0
R1,20,0,2,2,2,2,10,0,4,0,0,3,2,2,B,A,150.0,105.0
R1,27,0,0,0,1,3,10,1,4,0,1,2,3,2,B,A,130.0,95.0
R1,37,0,3,0,5,1,2,1,0,2,4,0,3,2,B,A,105.0,85.0
R2,18,1,4,0,5,1,1,3,0,1,5,1,4,0,A,B,18.0,19.0
R2,19,0,2,2,0,0,6,0,2,1,1,4,10,0,A,B,24.0,27.0
