personID,num_Q,food,size_A,access_A,income_A,poverty_A,last_donation_A,dist_A,size_B,access_B,income_B,poverty_B,last_donation_B,dist_B,AorB,model_prediction,model_score_A,model_score_B
F2,2,1,1,0,5,0,7,3,0,1,3,1,4,1,B,tie,55.0,55.0
F2,16,0,3,1,5,0,8,0,1,2,5,1,2,1,A,tie,70.0,70.0
F2,25,1,3,0,5,0,1,1,3,0,3,1,2,1,B,tie,25.0,25.0
F2,26,0,0,2,2,2,11,2,2,0,1,1,4,0,B,tie,90.0,90.0
R1,32,1,0,2,2,0,3,1,1,2,2,0,11,2,A,tie,110.0,110.0
R1,35,1,1,0,0,6,1,1,4,1,1,4,9,1,A,tie,135.0,135.0
R1,39,0,3,1,1,1,0,3,0,2,2,3,6,2,B,tie,130.0,130.0
R2,11,1,2,1,2,1,6,2,2,0,0,5,9,0,A,tie,22.0,22.0
R2,12,1,4,0,3,0,11,1,2,0,2,2,8,3,A,tie,23.0,23.0
R2,30,0,3,1,0,7,9,3,1,1,2,2,12,1,A,tie,25.0,25.0
R2,31,1,2,2,1,0,5,0,0,2,1,1,9,2,A,tie,27.0,27.0
R2,32,1,2,0,4,0,10,0,2,0,4,1,11,3,A,tie,22.0,22.0
R2,37,1,1,0,4,1,1,1,1,0,3,1,11,1,A,tie,22.0,22.0
R3,10,0,3,2,1,0,8,0,3,0,0,6,6,0,A,tie,120.0,120.0
R7,22,0,2,2,3,0,9,0,2,1,2,3,3,0,B,tie,127.0,127.0
R8,33,1,3,1,4,1,11,2,4,1,2,0,1,3,A,tie,150.0,150.0
V1,1,0,1,1,5,0,1,3,0,1,2,2,9,1,B,tie,160.0,160.0
V1,5,1,1,2,4,0,9,3,2,2,3,0,12,2,B,tie,140.0,140.0
V1,12,1,0,1,3,0,1,0,0,1,4,0,5,0,B,tie,180.0,180.0
V1,13,0,2,1,2,1,1,0,2,2,2,1,1,0,B,tie,180.0,180.0
V5,8,0,4,2,2,1,2,3,2,1,2,1,12,1,A,tie,90.0,90.0
V5,11,0,4,2,4,0,1,0,2,2,4,0,6,1,A,tie,77.0,77.0
V5,18,0,0,1,0,6,1,3,1,1,1,3,6,3,B,tie,120.0,120.0
V7,6,1,0,0,1,2,2,0,3,1,5,0,0,1,B,tie,9.0,9.0
V7,34,1,3,2,2,1,8,0,4,1,0,1,5,2,B,tie,13.5,13.5
