personID,comparison,choice,A_dep,A_life,A_obesity,A_work,A_wait,A_crime,B_dep,B_life,B_obesity,B_work,B_wait,B_crime
16234,1,B,0,25,1,20,1,0,0,10,1,20,7,0
16234,2,B,2,25,1,10,5,0,1,20,2,30,7,0
16234,3,A,1,10,0,20,5,0,0,20,3,40,3,0
19857,1,B,0,25,1,20,1,0,0,10,1,20,7,0
19857,2,A,2,25,1,10,5,0,1,20,2,30,7,0
19857,3,A,1,10,0,20,5,0,0,20,3,40,3,0
23405,1,A,0,15,1,20,7,0,3,15,1,20,1,0
23405,2,A,2,25,1,10,5,0,1,20,2,30,7,0
23405,3,B,1,10,0,20,5,0,0,20,3,40,3,0
25171,1,A,3,15,1,20,5,2,0,15,1,20,5,0
25171,2,A,2,25,1,10,5,0,1,20,2,30,7,0
25171,3,B,1,10,0,20,5,0,0,20,3,40,3,0
28789,1,B,0,25,1,20,1,0,0,10,1,20,7,0
28789,2,A,2,25,1,10,5,0,1,20,2,30,7,0
28789,3,B,1,10,0,20,5,0,0,20,3,40,3,0
31772,1,B,0,25,1,20,1,0,0,10,1,20,7,0
31772,2,B,2,25,1,10,5,0,1,20,2,30,7,0
31772,3,A,1,10,0,20,5,0,0,20,3,40,3,0
42828,1,A,0,15,1,20,7,0,3,15,1,20,1,0
42828,2,A,2,25,1,10,5,0,1,20,2,30,7,0
42828,3,A,1,10,0,20,5,0,0,20,3,40,3,0
45865,1,A,3,10,1,20,5,0,0,25,1,20,5,0
45865,2,B,2,25,1,10,5,0,1,20,2,30,7,0
45865,3,B,1,10,0,20,5,0,0,20,3,40,3,0
51283,1,A,3,15,1,20,5,0,0,15,1,20,5,2
51283,2,B,2,25,1,10,5,0,1,20,2,30,7,0
51283,3,A,1,10,0,20,5,0,0,20,3,40,3,0
53826,1,A,0,15,1,20,7,0,3,15,1,20,1,0
53826,2,B,2,25,1,10,5,0,1,20,2,30,7,0
53826,3,B,1,10,0,20,5,0,0,20,3,40,3,0
54338,1,B,0,10,1,20,7,0,0,25,1,20,1,0
54338,2,A,2,25,1,10,5,0,1,20,2,30,7,0
54338,3,B,1,10,0,20,5,0,0,20,3,40,3,0
62264,1,B,0,15,4,20,5,0,3,15,0,20,5,0
62264,2,A,2,25,1,10,5,0,1,20,2,30,7,0
62264,3,B,1,10,0,20,5,0,0,20,3,40,3,0
66158,1,B,3,15,1,20,1,0,0,15,1,20,7,0
66158,2,B,2,25,1,10,5,0,1,20,2,30,7,0
66158,3,A,1,10,0,20,5,0,0,20,3,40,3,0
68470,1,B,0,15,1,20,7,0,3,15,1,20,1,0
68470,2,A,2,25,1,10,5,0,1,20,2,30,7,0
68470,3,A,1,10,0,20,5,0,0,20,3,40,3,0
74211,1,A,3,10,1,20,5,0,0,25,1,20,5,0
74211,2,A,2,25,1,10,5,0,1,20,2,30,7,0
74211,3,A,1,10,0,20,5,0,0,20,3,40,3,0
76769,1,A,0,15,4,20,7,0,0,15,0,20,1,0
76769,2,A,2,25,1,10,5,0,1,20,2,30,7,0
76769,3,A,1,10,0,20,5,0,0,20,3,40,3,0
80894,1,A,0,25,1,20,5,0,3,10,1,20,5,0
80894,2,A,2,25,1,10,5,0,1,20,2,30,7,0
80894,3,A,1,10,0,20,5,0,0,20,3,40,3,0
87360,1,A,0,10,1,20,7,0,0,25,1,20,1,0
87360,2,A,2,25,1,10,5,0,1,20,2,30,7,0
87360,3,B,1,10,0,20,5,0,0,20,3,40,3,0
97256,1,A,3,15,1,20,1,0,0,15,1,20,7,0
97256,2,A,2,25,1,10,5,0,1,20,2,30,7,0
97256,3,A,1,10,0,20,5,0,0,20,3,40,3,0
99453,1,A,3,10,1,20,5,0,0,25,1,20,5,0
99453,2,A,2,25,1,10,5,0,1,20,2,30,7,0
99453,3,A,1,10,0,20,5,0,0,20,3,40,3,0
