seed,k,method,logloss,acc,n_train,n_left,n_right,n_indiff,n_incomp
0,10,A,0.6845904907933593,0.681,10,3,7,0,0
0,10,B1,0.6358126663328174,0.736,10,3,7,0,0
0,10,B2,0.4836656089091812,0.7734,10,3,7,0,0
0,10,C,0.6397266020511675,0.6642,10,5,5,0,0
1,10,A,0.7859998287547313,0.7254,10,4,6,0,0
1,10,B1,0.6750518328922727,0.5806,10,4,6,0,0
1,10,B2,6.749788588090528,0.7586,10,4,6,0,0
1,10,C,0.6422161494138168,0.6602,10,5,5,0,0
2,10,A,0.653406065093515,0.7534,10,3,7,0,0
2,10,B1,0.6454499807190633,0.658,10,3,7,0,0
2,10,B2,6.813040691792796,0.7564,10,3,7,0,0
2,10,C,0.6365888600192042,0.6584,10,6,4,0,0
3,10,A,0.6027366103277806,0.7264,10,6,4,0,0
3,10,B1,0.6365888600192042,0.6584,10,6,4,0,0
3,10,B2,0.5888982692507235,0.7172,10,6,4,0,0
3,10,C,0.6305187552092095,0.718,10,4,6,0,0
4,10,A,0.6134477145934026,0.76,10,4,6,0,0
4,10,B1,0.6460907641442473,0.6386,10,4,6,0,0
4,10,B2,4.301203252987023,0.7192,10,4,6,0,0
4,10,C,0.6365888600192042,0.6584,10,3,7,0,0
5,10,A,0.8994307609082484,0.6308,10,2,8,0,0
5,10,B1,0.6436224625705232,0.6866,10,2,8,0,0
5,10,B2,0.6328148189290256,0.7074,10,2,8,0,0
5,10,C,0.6456174129097199,0.678,10,6,4,0,0
6,10,A,1.0967089750026406,0.6038,10,6,4,0,0
6,10,B1,0.6460907641442473,0.6386,10,6,4,0,0
6,10,B2,7.454234010024179,0.743,10,6,4,0,0
6,10,C,0.660041384850748,0.6086,10,6,4,0,0
7,10,A,1.4015567339177692,0.5766,10,4,6,0,0
7,10,B1,0.6682459809843813,0.5964,10,4,6,0,0
7,10,B2,8.58981574206199,0.7078,10,4,6,0,0
7,10,C,0.6420237131048192,0.667,10,6,4,0,0
8,10,A,0.9213770751791962,0.7046,10,6,4,0,0
8,10,B1,0.634570597237467,0.6656,10,6,4,0,0
8,10,B2,6.5195254668366776,0.7662,10,6,4,0,0
8,10,C,0.65213898164321,0.636,10,6,4,0,0
9,10,A,0.950764464324564,0.6786,10,5,5,0,0
9,10,B1,0.6437162545794681,0.6488,10,5,5,0,0
9,10,B2,7.545653374917933,0.736,10,5,5,0,0
9,10,C,0.6528947343707773,0.6298,10,7,3,0,0
10,10,A,0.8028083026563966,0.6842,10,3,7,0,0
10,10,B1,0.6365888600192042,0.6584,10,3,7,0,0
10,10,B2,6.803630714057107,0.7604,10,3,7,0,0
10,10,C,0.6600413848507481,0.6086,10,6,4,0,0
11,10,A,0.6620396677628742,0.7648,10,7,3,0,0
11,10,B1,0.6443154738379794,0.6582,10,7,3,0,0
11,10,B2,6.683171016922615,0.7582,10,7,3,0,0
11,10,C,0.6464232025786399,0.6666,10,6,4,0,0
12,10,A,0.6428109509288582,0.7614,10,4,6,0,0
12,10,B1,0.6365888600192042,0.6584,10,4,6,0,0
12,10,B2,6.778816630957773,0.7546,10,4,6,0,0
12,10,C,0.632544498163417,0.7084,10,6,4,0,0
13,10,A,0.7383158002320264,0.73,10,5,5,0,0
13,10,B1,0.6452945352845654,0.6538,10,5,5,0,0
13,10,B2,6.480195327758596,0.7648,10,5,5,0,0
13,10,C,0.6600413848507481,0.6086,10,6,4,0,0
14,10,A,0.9019950020397016,0.7124,10,7,3,0,0
14,10,B1,0.6532199237562205,0.6544,10,7,3,0,0
14,10,B2,6.991097193092502,0.7514,10,7,3,0,0
14,10,C,0.6379888304406389,0.6966,10,4,6,0,0
15,10,A,2.0819846373771043,0.5042,10,6,4,0,0
15,10,B1,0.6750518328922727,0.5806,10,6,4,0,0
15,10,B2,1.135505633735245,0.6664,10,6,4,0,0
15,10,C,0.6591921587532262,0.6206,10,7,3,0,0
16,10,A,0.8825641940398904,0.7152,10,5,5,0,0
16,10,B1,0.6410478274149229,0.6584,10,5,5,0,0
16,10,B2,0.8827964457485741,0.7578,10,5,5,0,0
16,10,C,0.632661121460608,0.7128,10,6,4,0,0
17,10,A,0.8209589167117843,0.6904,10,5,5,0,0
17,10,B1,0.635073624561805,0.6854,10,5,5,0,0
17,10,B2,7.432175574548977,0.7414,10,5,5,0,0
17,10,C,0.6430628814218021,0.6694,10,5,5,0,0
18,10,A,1.2684994613841127,0.6474,10,6,4,0,0
18,10,B1,0.6603585150706162,0.6128,10,6,4,0,0
18,10,B2,10.183299246395356,0.6664,10,6,4,0,0
18,10,C,0.6365888600192042,0.6584,10,6,4,0,0
19,10,A,2.693841952959962,0.4274,10,6,4,0,0
19,10,B1,0.6886056147820762,0.553,10,6,4,0,0
19,10,B2,1.5586703403259738,0.5878,10,6,4,0,0
19,10,C,0.6347127259531511,0.6858,10,2,8,0,0
0,20,A,1.0265827926444584,0.7056,20,10,10,0,0
0,20,B1,0.641828694121445,0.6586,20,10,10,0,0
0,20,B2,8.018719978565507,0.724,20,10,10,0,0
0,20,C,0.6365888600192042,0.6584,20,12,8,0,0
1,20,A,0.6044034234252745,0.7074,20,9,11,0,0
1,20,B1,0.638609228276519,0.6826,20,9,11,0,0
1,20,B2,0.5413038312243581,0.7346,20,9,11,0,0
1,20,C,0.6366035383147546,0.6636,20,10,10,0,0
2,20,A,0.6523703584994371,0.7272,20,8,12,0,0
2,20,B1,0.6504874699390548,0.6772,20,8,12,0,0
2,20,B2,0.7041327749439137,0.7292,20,8,12,0,0
2,20,C,0.6362733417813524,0.6588,20,15,5,0,0
3,20,A,0.730129866069082,0.662,20,13,7,0,0
3,20,B1,0.64567306024485,0.6442,20,13,7,0,0
3,20,B2,0.6416812186952726,0.6988,20,13,7,0,0
3,20,C,0.6394926440536542,0.688,20,10,10,0,0
4,20,A,0.6909915490141668,0.738,20,9,11,0,0
4,20,B1,0.6600413848507481,0.6086,20,9,11,0,0
4,20,B2,0.9986966372193802,0.736,20,9,11,0,0
4,20,C,0.6346920382715535,0.6866,20,9,11,0,0
5,20,A,1.1040537852851733,0.6588,20,9,11,0,0
5,20,B1,0.6332507346096131,0.7056,20,9,11,0,0
5,20,B2,0.7000820120830338,0.728,20,9,11,0,0
5,20,C,0.6335499401693392,0.7032,20,10,10,0,0
6,20,A,0.7139432496548108,0.5022,20,12,8,0,0
6,20,B1,0.6636108079929866,0.611,20,12,8,0,0
6,20,B2,0.6469837493638333,0.6434,20,12,8,0,0
6,20,C,0.6320517933458488,0.7124,20,8,12,0,0
7,20,A,0.6157155169049796,0.7354,20,12,8,0,0
7,20,B1,0.6354135423574557,0.6678,20,12,8,0,0
7,20,B2,0.6594303712108667,0.7366,20,12,8,0,0
7,20,C,0.6365888600192042,0.6584,20,13,7,0,0
8,20,A,1.0085933528706807,0.7078,20,12,8,0,0
8,20,B1,0.6365888600192042,0.6584,20,12,8,0,0
8,20,B2,8.101601791308761,0.7258,20,12,8,0,0
8,20,C,0.6365888600192042,0.6584,20,10,10,0,0
9,20,A,0.5092327410883266,0.7546,20,12,8,0,0
9,20,B1,0.6365888600192042,0.6584,20,12,8,0,0
9,20,B2,0.521296705516078,0.7566,20,12,8,0,0
9,20,C,0.6357824151799716,0.6852,20,9,11,0,0
10,20,A,0.6369966953128879,0.7364,20,8,12,0,0
10,20,B1,0.6423428506480815,0.6708,20,8,12,0,0
10,20,B2,0.648242034414564,0.748,20,8,12,0,0
10,20,C,0.6365888600192042,0.6584,20,10,10,0,0
11,20,A,0.9203858912874544,0.7344,20,11,9,0,0
11,20,B1,0.6422786372921823,0.6816,20,11,9,0,0
11,20,B2,7.111364242280522,0.7448,20,11,9,0,0
11,20,C,0.6438085319543679,0.6714,20,14,6,0,0
12,20,A,0.5508504590230885,0.7438,20,9,11,0,0
12,20,B1,0.6460907641442474,0.6386,20,9,11,0,0
12,20,B2,0.5667376253701832,0.7442,20,9,11,0,0
12,20,C,0.6456826922435109,0.6886,20,9,11,0,0
13,20,A,0.6394629023199112,0.6908,20,14,6,0,0
13,20,B1,0.6600413848507481,0.6086,20,14,6,0,0
13,20,B2,0.6505844187587271,0.6916,20,14,6,0,0
13,20,C,0.6374719352667928,0.7034,20,7,13,0,0
14,20,A,0.8722962693705857,0.7074,20,12,8,0,0
14,20,B1,0.6347381176663437,0.691,20,12,8,0,0
14,20,B2,0.6313440981373265,0.7398,20,12,8,0,0
14,20,C,0.6318203793781049,0.7124,20,7,13,0,0
15,20,A,0.7131515449101133,0.728,20,16,4,0,0
15,20,B1,0.6365888600192042,0.6584,20,16,4,0,0
15,20,B2,0.6934175764518942,0.7434,20,16,4,0,0
15,20,C,0.6392378507975148,0.7432,20,9,11,0,0
16,20,A,0.8512533404737754,0.7168,20,12,8,0,0
16,20,B1,0.6365888600192042,0.6584,20,12,8,0,0
16,20,B2,6.736253919628597,0.7632,20,12,8,0,0
16,20,C,0.6489637740665183,0.673,20,7,13,0,0
17,20,A,0.801954784467503,0.7528,20,11,9,0,0
17,20,B1,0.6365888600192042,0.6584,20,11,9,0,0
