tau,tau_prime,method,final_cos_sim,final_stderr,n_left,n_right,n_indifferent,n_incomparable,n_decisive_total,n_forced,learning_curve_mean,learning_curve_stderr
0.0,0.0,multiframe,0.7868614823489234,0.10633854229991535,20,20,0,0,40,0,"0.5579,0.6585,0.5803,0.6698,0.6045,0.5961,0.4771,0.5376,0.6076,0.4652,0.6085,0.6738,0.7360,0.7621,0.6674,0.5177,0.7603,0.6022,0.8121,0.7869","0.1283,0.1254,0.0832,0.0554,0.0811,0.1568,0.1051,0.1275,0.0131,0.1065,0.1250,0.1571,0.1189,0.1384,0.1436,0.1015,0.0200,0.0834,0.0363,0.1063"
0.0,0.0,bt_laplace_bald,0.7495219415011123,0.02093064035226118,20,20,0,0,40,0,"0.6669,0.6852,0.4958,0.5132,0.5901,0.5251,0.5525,0.5622,0.7362,0.7846,0.7504,0.7443,0.8235,0.7816,0.7642,0.7284,0.7564,0.6739,0.5878,0.7495","0.1448,0.0170,0.0557,0.0761,0.0405,0.0012,0.0840,0.0802,0.0327,0.0867,0.0999,0.0899,0.0563,0.0206,0.0520,0.1098,0.0391,0.1009,0.0788,0.0209"
0.0,0.0,bt_laplace_bald_k,0.7988816393804149,0.10512125878920017,22,18,0,0,40,0,"0.5990,0.7171,0.8002,0.7868,0.7524,0.7826,0.7837,0.8077,0.7547,0.7640,0.7479,0.7644,0.7553,0.7902,0.7844,0.7720,0.7821,0.7945,0.8148,0.7989","0.0418,0.0026,0.0014,0.0329,0.1074,0.0969,0.0998,0.0782,0.1065,0.1249,0.1371,0.1284,0.1174,0.1148,0.1192,0.1164,0.1108,0.1162,0.1045,0.1051"
0.0,0.0,bt_laplace_bald_random,0.6759140938294422,0.037925525039146486,21,19,0,0,40,0,"0.6086,0.5572,0.4014,0.5559,0.6855,0.6161,0.6224,0.5502,0.6227,0.7329,0.7357,0.6704,0.7576,0.7026,0.6818,0.6694,0.6575,0.7191,0.6463,0.6759","0.0611,0.0521,0.0657,0.0513,0.0137,0.0210,0.0024,0.0815,0.0049,0.0218,0.0568,0.0704,0.0895,0.1020,0.0846,0.0242,0.0004,0.0482,0.0047,0.0379"
0.0,0.0,bt_laplace_bald_left,0.5866068155157917,0.04554884442303798,23,17,0,0,40,0,"0.5519,0.6496,0.6497,0.6847,0.7866,0.7818,0.7841,0.7396,0.6958,0.7460,0.7876,0.8271,0.7980,0.7916,0.7346,0.7284,0.7660,0.7143,0.6658,0.5866","0.0137,0.0186,0.0981,0.1402,0.0953,0.0991,0.1004,0.1024,0.1604,0.1333,0.1141,0.0738,0.1011,0.0947,0.1364,0.1180,0.1199,0.0581,0.0546,0.0455"
0.0,0.2,multiframe,0.45707316778323837,0.07556822426520238,23,16,0,1,39,0,"0.5847,0.5553,0.5700,0.4894,0.6281,0.7473,0.5584,0.5199,0.5349,0.5514,0.5236,0.7530,0.8035,0.5882,0.5698,0.6756,0.6858,0.6253,0.6197,0.4571","0.0324,0.1559,0.0877,0.1333,0.0679,0.0212,0.0645,0.1073,0.1383,0.0681,0.0880,0.0836,0.0657,0.0848,0.1021,0.1024,0.0317,0.1414,0.1322,0.0756"
0.0,0.2,bt_laplace_bald,0.8168964068316851,0.04257429607881274,24,15,0,1,39,0,"0.5836,0.7199,0.8212,0.7422,0.5851,0.5024,0.5133,0.5629,0.7131,0.7182,0.6774,0.6922,0.5999,0.5745,0.5676,0.5663,0.6259,0.7268,0.7330,0.8169","0.1084,0.0838,0.0639,0.1459,0.1715,0.1270,0.1409,0.1309,0.1053,0.0079,0.1326,0.1728,0.1395,0.2081,0.1927,0.1182,0.0950,0.0571,0.0548,0.0426"
0.0,0.2,bt_laplace_bald_k,0.5842666147681534,0.049917421258115054,20,20,0,2,40,0,"0.6955,0.6286,0.5378,0.4835,0.4362,0.5276,0.5205,0.5784,0.6184,0.4958,0.4741,0.4485,0.5120,0.5580,0.6348,0.5750,0.6618,0.6716,0.6579,0.5843","0.0382,0.0146,0.0849,0.0831,0.1329,0.0940,0.0590,0.0252,0.0715,0.0404,0.1135,0.0789,0.1062,0.0188,0.0291,0.0404,0.0020,0.0002,0.0715,0.0499"
0.0,0.2,bt_laplace_bald_random,0.6968386675292002,0.10783817536034945,21,19,0,0,40,0,"0.5795,0.5195,0.5193,0.4719,0.5271,0.4840,0.4819,0.5296,0.4696,0.5602,0.6435,0.5494,0.5031,0.4759,0.5380,0.6126,0.6635,0.6142,0.6753,0.6968","0.0396,0.0697,0.1421,0.0907,0.0356,0.1063,0.1222,0.0432,0.0526,0.0152,0.0732,0.0263,0.0536,0.0392,0.0229,0.0593,0.1222,0.0671,0.1043,0.1078"
0.0,0.2,bt_laplace_bald_left,0.7106716238326038,0.09551639963220317,23,15,0,2,40,2,"0.5147,0.5115,0.4774,0.4767,0.5229,0.5402,0.6183,0.5685,0.5836,0.5877,0.6684,0.7295,0.7584,0.6595,0.7754,0.6838,0.6854,0.7107,0.7649,0.7107","0.1273,0.0814,0.1332,0.0967,0.1322,0.1093,0.0009,0.0086,0.0071,0.0391,0.0313,0.0531,0.0950,0.0223,0.0217,0.0192,0.0258,0.0049,0.0504,0.0955"
