tau,tau_prime,method,final_cos_sim,final_stderr,n_left,n_right,n_indifferent,n_incomparable,n_decisive_total,n_forced,n_attempts,learning_curve_mean,learning_curve_stderr
0.0,0.0,multiframe,0.7475025233786775,0.05604058396922844,33,27,0,0,60,0,0,"0.7668,0.7264,0.7422,0.7464,0.7675,0.8176,0.7364,0.7527,0.7590,0.7078,0.8229,0.7673,0.7092,0.7874,0.7903,0.7826,0.7405,0.7574,0.7754,0.7475","0.0758,0.0788,0.0878,0.0789,0.0750,0.0408,0.0731,0.0731,0.0566,0.0954,0.0279,0.0594,0.0920,0.0317,0.0093,0.0594,0.0541,0.0241,0.0493,0.0560"
0.0,0.0,bt_laplace_bald,0.8381550840280633,0.02555790896412529,34,26,0,0,60,0,0,"0.7166,0.7928,0.7792,0.8209,0.7178,0.8145,0.7201,0.6466,0.7415,0.7936,0.7718,0.8172,0.8377,0.8344,0.8326,0.8338,0.8399,0.8199,0.8040,0.8382","0.0790,0.0437,0.0780,0.0398,0.0500,0.0131,0.0934,0.1339,0.0847,0.0861,0.0673,0.0389,0.0428,0.0345,0.0460,0.0298,0.0387,0.0478,0.0308,0.0256"
0.0,0.0,bt_laplace_bald_k,0.8433631200958525,0.04863684459044202,35,25,0,0,60,0,60,"0.6828,0.8066,0.7199,0.8503,0.8269,0.8498,0.8403,0.9181,0.9146,0.8698,0.8574,0.8207,0.7284,0.7088,0.7336,0.7533,0.8146,0.7740,0.7896,0.8434","0.0651,0.0445,0.0485,0.0397,0.0605,0.0567,0.0388,0.0134,0.0198,0.0533,0.0174,0.0213,0.1309,0.1423,0.1362,0.1022,0.0959,0.1169,0.0871,0.0486"
0.0,0.0,bt_laplace_bald_random,0.8306463002894068,0.05352671021214898,32,28,0,0,60,0,0,"0.7144,0.6250,0.7263,0.7719,0.8015,0.8285,0.8171,0.7850,0.7475,0.7823,0.8203,0.8179,0.8414,0.8003,0.8307,0.8684,0.8251,0.8265,0.8419,0.8306","0.0714,0.0235,0.0344,0.0226,0.0483,0.0250,0.0402,0.0179,0.0795,0.0413,0.0259,0.0549,0.0484,0.0622,0.0398,0.0405,0.0437,0.0569,0.0468,0.0535"
0.0,0.0,bt_laplace_bald_left,0.8851793598079629,0.014469910104805066,33,27,0,0,60,0,0,"0.7173,0.7989,0.8960,0.8544,0.7214,0.7685,0.8613,0.8505,0.8530,0.8261,0.8661,0.8643,0.8486,0.8002,0.7958,0.7876,0.8586,0.8312,0.8137,0.8852","0.0784,0.0525,0.0314,0.0462,0.0980,0.0200,0.0244,0.0329,0.0242,0.0423,0.0500,0.0496,0.0514,0.0488,0.0653,0.0676,0.0369,0.0729,0.0563,0.0145"
0.0,0.2,multiframe,0.7406087253756235,0.02112858187423963,28,26,0,6,54,0,0,"0.8642,0.8250,0.8644,0.8538,0.8814,0.9214,0.8968,0.8815,0.8930,0.8539,0.8453,0.8341,0.8419,0.7141,0.8040,0.8531,0.8472,0.7942,0.8731,0.7406","0.0540,0.0479,0.0206,0.0220,0.0194,0.0062,0.0216,0.0297,0.0278,0.0323,0.0514,0.0345,0.0334,0.1015,0.0677,0.0576,0.0287,0.0400,0.0300,0.0211"
0.0,0.2,bt_laplace_bald,0.8148270008359022,0.017892651365393267,36,23,0,1,59,0,0,"0.7798,0.8778,0.8840,0.8479,0.7626,0.8195,0.8175,0.7462,0.7466,0.8360,0.8075,0.8349,0.8217,0.7526,0.7472,0.7843,0.8004,0.7905,0.7421,0.8148","0.0634,0.0344,0.0163,0.0502,0.0586,0.0144,0.0481,0.0526,0.0376,0.0305,0.0233,0.0317,0.0286,0.0224,0.0443,0.0193,0.0239,0.0261,0.0092,0.0179"
0.0,0.2,bt_laplace_bald_k,0.890170214252445,0.025159541942927414,31,29,0,4,60,0,64,"0.7279,0.7949,0.7533,0.8203,0.8190,0.8217,0.8306,0.8504,0.8734,0.8565,0.8608,0.8518,0.9127,0.8747,0.8640,0.8804,0.9093,0.9054,0.8887,0.8902","0.0665,0.0487,0.0560,0.0398,0.0608,0.0518,0.0693,0.0438,0.0400,0.0635,0.0257,0.0333,0.0024,0.0111,0.0146,0.0017,0.0244,0.0171,0.0225,0.0252"
0.0,0.2,bt_laplace_bald_random,0.6949581326749925,0.046477660736673525,30,28,0,2,60,2,0,"0.7814,0.6971,0.6999,0.8346,0.7947,0.7769,0.7908,0.7808,0.7400,0.7908,0.7817,0.7848,0.7653,0.7599,0.7918,0.8082,0.7697,0.7218,0.7120,0.6950","0.0188,0.0353,0.0383,0.0434,0.0454,0.0406,0.0405,0.0146,0.0102,0.0252,0.0106,0.0109,0.0089,0.0297,0.0149,0.0212,0.0139,0.0465,0.0588,0.0465"
0.0,0.2,bt_laplace_bald_left,0.8743172411739466,0.005929728013391929,38,22,0,0,60,0,0,"0.8392,0.8765,0.9036,0.8223,0.8127,0.7778,0.8155,0.7830,0.8041,0.8140,0.8644,0.8446,0.8232,0.7792,0.7609,0.7776,0.8284,0.7896,0.7972,0.8743","0.0373,0.0128,0.0252,0.0722,0.0286,0.0126,0.0432,0.0478,0.0341,0.0408,0.0501,0.0482,0.0475,0.0370,0.0464,0.0630,0.0292,0.0592,0.0498,0.0059"
0.0,0.4,multiframe,0.7312084784879315,0.036407752606986234,26,27,0,7,53,0,0,"0.8033,0.8092,0.7695,0.7685,0.8058,0.7847,0.8704,0.7545,0.8271,0.7907,0.7716,0.7309,0.7490,0.7837,0.7665,0.7109,0.6986,0.7342,0.7641,0.7312","0.0598,0.0769,0.0684,0.0357,0.0443,0.0882,0.0061,0.0436,0.0066,0.0657,0.0641,0.0706,0.0730,0.0250,0.0477,0.0063,0.0790,0.0830,0.0553,0.0364"
0.0,0.4,bt_laplace_bald,0.7141745966603033,0.05388872253958089,33,23,0,4,56,0,0,"0.7379,0.8172,0.8427,0.8090,0.7559,0.7011,0.6813,0.6318,0.6776,0.7676,0.7883,0.7917,0.8184,0.7635,0.7521,0.8439,0.8055,0.7409,0.7135,0.7142","0.0398,0.0813,0.0300,0.0494,0.0562,0.0895,0.0732,0.0418,0.0596,0.0583,0.0295,0.0489,0.0305,0.0228,0.0418,0.0324,0.0213,0.0639,0.0193,0.0539"
0.0,0.4,bt_laplace_bald_k,0.5817946123080942,0.056484018879350895,32,28,0,7,60,0,67,"0.6911,0.7663,0.7308,0.8062,0.7731,0.8077,0.8180,0.8402,0.7754,0.7042,0.7224,0.6992,0.7320,0.6315,0.6711,0.6986,0.6442,0.6859,0.6288,0.5818","0.0516,0.0254,0.0495,0.0286,0.0310,0.0306,0.0462,0.0056,0.0078,0.0591,0.0770,0.0854,0.0422,0.0507,0.0360,0.0253,0.0030,0.0626,0.0638,0.0565"
0.0,0.4,bt_laplace_bald_random,0.6377421410514298,0.04233848465792469,30,25,0,5,60,5,0,"0.7928,0.7766,0.7521,0.8183,0.8020,0.7506,0.7394,0.8166,0.7279,0.8049,0.7217,0.7388,0.7745,0.7551,0.7540,0.7326,0.7115,0.7012,0.6554,0.6377","0.0273,0.0568,0.0388,0.0463,0.0488,0.0230,0.0099,0.0307,0.0165,0.0226,0.0594,0.0379,0.0336,0.0487,0.0509,0.0318,0.0386,0.0537,0.0480,0.0423"
0.0,0.4,bt_laplace_bald_left,0.8241619245939024,0.06981265556985193,31,24,0,5,60,5,0,"0.8070,0.8836,0.9184,0.8425,0.8190,0.8123,0.8059,0.8068,0.8190,0.8282,0.8018,0.7746,0.7635,0.7489,0.7430,0.7409,0.7869,0.7542,0.7255,0.8242","0.0392,0.0085,0.0334,0.0801,0.0335,0.0384,0.0363,0.0661,0.0456,0.0511,0.0514,0.0681,0.0715,0.0819,0.0585,0.0693,0.0601,0.0708,0.0894,0.0698"
0.0,0.6,multiframe,0.7233742874720988,0.08642050364138093,22,33,0,5,55,0,0,"0.8041,0.7314,0.8419,0.7797,0.8165,0.7866,0.8004,0.8016,0.8235,0.8366,0.7841,0.8728,0.8562,0.8459,0.7848,0.8016,0.7973,0.8399,0.7356,0.7234","0.0701,0.0340,0.0369,0.0575,0.0251,0.0403,0.0205,0.0085,0.0437,0.0162,0.0369,0.0531,0.0441,0.0249,0.0219,0.0457,0.0627,0.0438,0.0274,0.0864"
0.0,0.6,bt_laplace_bald,0.6893773974222882,0.05893422594372964,26,26,0,8,52,0,0,"0.7727,0.7976,0.8038,0.7694,0.7392,0.6488,0.6913,0.7283,0.6806,0.7441,0.7628,0.7247,0.7956,0.8183,0.7317,0.7654,0.7380,0.6939,0.6782,0.6894","0.0114,0.0778,0.0433,0.0752,0.1034,0.0937,0.0784,0.0903,0.0540,0.0405,0.0143,0.0181,0.0155,0.0415,0.0393,0.0803,0.0569,0.0458,0.0169,0.0589"
0.0,0.6,bt_laplace_bald_k,0.6258717913443118,0.07755072849646218,29,31,0,9,60,0,69,"0.7705,0.8046,0.8216,0.7743,0.7688,0.6813,0.7265,0.7538,0.7039,0.6790,0.7183,0.7027,0.6796,0.6810,0.7154,0.7326,0.6597,0.6209,0.6194,0.6259","0.0194,0.0300,0.0316,0.0508,0.0453,0.0696,0.0156,0.0421,0.0276,0.0990,0.1039,0.0766,0.0479,0.0643,0.0775,0.0928,0.0989,0.1064,0.0995,0.0776"
0.0,0.6,bt_laplace_bald_random,0.8455776180241971,0.01970657118937112,23,26,0,11,60,11,0,"0.8341,0.8287,0.7294,0.8475,0.8780,0.7944,0.7861,0.7615,0.7737,0.8234,0.7939,0.8350,0.8404,0.8050,0.7247,0.7059,0.8350,0.8430,0.8566,0.8456","0.0390,0.0271,0.0350,0.0363,0.0151,0.0481,0.0099,0.0261,0.0478,0.0202,0.0159,0.0081,0.0210,0.0087,0.0121,0.0352,0.0293,0.0222,0.0149,0.0197"
