tau,tau_prime,method,final_cos_sim,final_stderr,n_left,n_right,n_indifferent,n_incomparable
0.0,0.0,multiframe,0.7475025233786775,0.05604058396922844,33,27,0,0
0.0,0.0,bt_laplace_bald,0.8381550840280633,0.02555790896412529,34,26,0,0
0.0,0.0,bt_laplace_bald_k,0.8433631200958525,0.04863684459044202,35,25,0,0
0.0,0.0,bt_laplace_bald_random,0.8306463002894068,0.05352671021214898,32,28,0,0
0.0,0.0,bt_laplace_bald_left,0.8851793598079629,0.014469910104805066,33,27,0,0
0.0,0.2,multiframe,0.7406087253756235,0.02112858187423963,28,26,0,6
0.0,0.2,bt_laplace_bald,0.8148270008359022,0.017892651365393267,36,23,0,1
0.0,0.2,bt_laplace_bald_k,0.890170214252445,0.025159541942927414,31,29,0,4
0.0,0.2,bt_laplace_bald_random,0.6949581326749925,0.046477660736673525,30,28,0,2
0.0,0.2,bt_laplace_bald_left,0.8743172411739466,0.005929728013391929,38,22,0,0
0.0,0.4,multiframe,0.7312084784879315,0.036407752606986234,26,27,0,7
0.0,0.4,bt_laplace_bald,0.7141745966603033,0.05388872253958089,33,23,0,4
0.0,0.4,bt_laplace_bald_k,0.5817946123080942,0.056484018879350895,32,28,0,7
0.0,0.4,bt_laplace_bald_random,0.6377421410514298,0.04233848465792469,30,25,0,5
0.0,0.4,bt_laplace_bald_left,0.8241619245939024,0.06981265556985193,31,24,0,5
0.0,0.6,multiframe,0.7233742874720988,0.08642050364138093,22,33,0,5
0.0,0.6,bt_laplace_bald,0.6893773974222882,0.05893422594372964,26,26,0,8
0.0,0.6,bt_laplace_bald_k,0.6258717913443118,0.07755072849646218,29,31,0,9
0.0,0.6,bt_laplace_bald_random,0.8455776180241971,0.01970657118937112,23,26,0,11
0.0,0.6,bt_laplace_bald_left,0.8500527626400892,0.0773421200297452,28,23,0,9
0.0,0.8,multiframe,0.7638939395337331,0.06451992101055665,20,33,0,7
0.0,0.8,bt_laplace_bald,0.7162840071519314,0.06970543083046192,26,24,0,10
0.0,0.8,bt_laplace_bald_k,0.6967908852966448,0.09021070370846952,27,33,0,11
