tau,tau_prime,method,trial,attempt,cos_sim
0.0,0.0,multiframe_bald,0,1,0.8163974769850195
0.0,0.0,multiframe_bald,0,2,0.7930849349475845
0.0,0.0,multiframe_bald,0,3,0.8352757279391966
0.0,0.0,multiframe_bald,0,4,0.855812221038176
0.0,0.0,multiframe_bald,0,5,0.8686096056657301
0.0,0.0,multiframe_bald,0,6,0.7330538815912641
0.0,0.0,multiframe_bald,0,7,0.7997998224443169
0.0,0.0,multiframe_bald,0,8,0.7312046588954118
0.0,0.0,multiframe_bald,0,9,0.8370147774875686
0.0,0.0,multiframe_bald,0,10,0.636978154626757
0.0,0.0,multiframe_bald,0,11,0.8519018382243092
0.0,0.0,multiframe_bald,0,12,0.8111299831571311
0.0,0.0,multiframe_bald,0,13,0.7873261777330851
0.0,0.0,multiframe_bald,0,14,0.801672480416216
0.0,0.0,multiframe_bald,0,15,0.9127732461696125
0.0,0.0,multiframe_bald,0,16,0.8752541794769682
0.0,0.0,multiframe_bald,0,17,0.796278001973417
0.0,0.0,multiframe_bald,0,18,0.828706809421138
0.0,0.0,multiframe_bald,0,19,0.9184870015392903
0.0,0.0,multiframe_bald,0,20,0.7470771311385609
0.0,0.0,multiframe_bald,1,1,0.8395098660430985
0.0,0.0,multiframe_bald,1,2,0.9356830455415471
0.0,0.0,multiframe_bald,1,3,0.8843261308150331
0.0,0.0,multiframe_bald,1,4,0.8888729594227827
0.0,0.0,multiframe_bald,1,5,0.8716278923514303
0.0,0.0,multiframe_bald,1,6,0.8911449656186418
0.0,0.0,multiframe_bald,1,7,0.783063518735045
0.0,0.0,multiframe_bald,1,8,0.8996088087294954
0.0,0.0,multiframe_bald,1,9,0.7758728546993929
0.0,0.0,multiframe_bald,1,10,0.846002955305535
0.0,0.0,multiframe_bald,1,11,0.838789049303142
0.0,0.0,multiframe_bald,1,12,0.7192429696969646
0.0,0.0,multiframe_bald,1,13,0.8137801133175802
0.0,0.0,multiframe_bald,1,14,0.855541910299438
0.0,0.0,multiframe_bald,1,15,0.7035148787732285
0.0,0.0,multiframe_bald,1,16,0.8602996875995574
0.0,0.0,multiframe_bald,1,17,0.605426318730842
0.0,0.0,multiframe_bald,1,18,0.848670516379099
0.0,0.0,multiframe_bald,1,19,0.6431503246165601
0.0,0.0,multiframe_bald,1,20,0.8646706179672535
0.0,0.0,multiframe_bald,2,1,0.8053993143924578
0.0,0.0,multiframe_bald,2,2,0.8968842481064182
0.0,0.0,multiframe_bald,2,3,0.7383982690816322
0.0,0.0,multiframe_bald,2,4,0.8189924672736828
0.0,0.0,multiframe_bald,2,5,0.8082030087670515
0.0,0.0,multiframe_bald,2,6,0.8401337010205745
0.0,0.0,multiframe_bald,2,7,0.7784082831638605
0.0,0.0,multiframe_bald,2,8,0.7253822175910656
0.0,0.0,multiframe_bald,2,9,0.8623490934648281
0.0,0.0,multiframe_bald,2,10,0.754497397543747
0.0,0.0,multiframe_bald,2,11,0.7599440473093304
0.0,0.0,multiframe_bald,2,12,0.7180171670503922
0.0,0.0,multiframe_bald,2,13,0.8690717651864666
0.0,0.0,multiframe_bald,2,14,0.8863495134835387
0.0,0.0,multiframe_bald,2,15,0.762844110665506
0.0,0.0,multiframe_bald,2,16,0.8712010537370453
0.0,0.0,multiframe_bald,2,17,0.8856737360198528
0.0,0.0,multiframe_bald,2,18,0.7968141220106487
0.0,0.0,multiframe_bald,2,19,0.8327598776138319
0.0,0.0,multiframe_bald,2,20,0.7234969890095831
0.0,0.0,bt_map,0,1,0.8752078618301341
0.0,0.0,bt_map,0,2,0.6991017973912945
0.0,0.0,bt_map,0,3,0.5112999892611823
0.0,0.0,bt_map,0,4,0.38265402372361035
0.0,0.0,bt_map,0,5,0.4085502414031784
0.0,0.0,bt_map,0,6,0.40051530477057273
0.0,0.0,bt_map,0,7,0.44697056833154264
0.0,0.0,bt_map,0,8,0.4493702424421211
0.0,0.0,bt_map,0,9,0.4217370770463643
0.0,0.0,bt_map,0,10,0.44866675432072883
0.0,0.0,bt_map,0,11,0.47611027538098216
0.0,0.0,bt_map,0,12,0.6233368964734624
0.0,0.0,bt_map,0,13,0.6861926964703015
0.0,0.0,bt_map,0,14,0.7002321385872134
0.0,0.0,bt_map,0,15,0.6744506105895808
0.0,0.0,bt_map,0,16,0.6303877886350256
0.0,0.0,bt_map,0,17,0.6587607275824975
0.0,0.0,bt_map,0,18,0.643449688988858
0.0,0.0,bt_map,0,19,0.6092072466720234
0.0,0.0,bt_map,0,20,0.5444790431565734
0.0,0.0,bt_map,1,1,0.5185148413621791
0.0,0.0,bt_map,1,2,0.3060052585150017
0.0,0.0,bt_map,1,3,0.1084843364095625
0.0,0.0,bt_map,1,4,0.21006242606022593
0.0,0.0,bt_map,1,5,0.16292171872835956
0.0,0.0,bt_map,1,6,0.5947116673387498
0.0,0.0,bt_map,1,7,0.7087449018301737
0.0,0.0,bt_map,1,8,0.7684927664910268
0.0,0.0,bt_map,1,9,0.8623575513035358
0.0,0.0,bt_map,1,10,0.8589154921104644
0.0,0.0,bt_map,1,11,0.6986436382409823
0.0,0.0,bt_map,1,12,0.5609292118915638
0.0,0.0,bt_map,1,13,0.731679127408905
0.0,0.0,bt_map,1,14,0.5834597337756475
0.0,0.0,bt_map,1,15,0.4750257781759267
0.0,0.0,bt_map,1,16,0.4101068137636043
0.0,0.0,bt_map,1,17,0.4485510385622852
0.0,0.0,bt_map,1,18,0.38501639327797904
0.0,0.0,bt_map,1,19,0.36992803032806376
0.0,0.0,bt_map,1,20,0.34130504941990036
0.0,0.0,bt_map,2,1,0.8845406754687638
0.0,0.0,bt_map,2,2,0.6547561959459389
0.0,0.0,bt_map,2,3,0.6083161307202495
0.0,0.0,bt_map,2,4,0.7321474470797373
0.0,0.0,bt_map,2,5,0.7693013872034143
0.0,0.0,bt_map,2,6,0.7197590499459612
0.0,0.0,bt_map,2,7,0.5941677969796155
0.0,0.0,bt_map,2,8,0.32830866453369983
0.0,0.0,bt_map,2,9,0.4407559988101397
0.0,0.0,bt_map,2,10,0.3836689129525197
0.0,0.0,bt_map,2,11,0.33481600620165103
0.0,0.0,bt_map,2,12,0.34449815683206864
0.0,0.0,bt_map,2,13,0.35013170258436765
0.0,0.0,bt_map,2,14,0.2861176813272903
0.0,0.0,bt_map,2,15,0.5236230453483418
0.0,0.0,bt_map,2,16,0.7074852948954442
0.0,0.0,bt_map,2,17,0.6949347360990829
0.0,0.0,bt_map,2,18,0.7274742403188553
0.0,0.0,bt_map,2,19,0.7090398617164191
0.0,0.0,bt_map,2,20,0.5960588979857514
0.0,0.0,bt_map_k,0,1,0.8013970145751218
0.0,0.0,bt_map_k,0,2,0.6633907624769826
