,person_id,session_id,lalco,ldep,llife,lcrim,ralco,rdep,rlife,rcrim,secElasped,chosen,order,alcodiff,depdiff,lifediff,crimdiff,LocationLatitude,LocationLongitude,econStatus,hour_of_day,age_18-24 years old,age_25-34 years old,age_35-44 years old,age_45-54 years old,age_55-64 years old,age_65+ years old,gender_Female,gender_Male,gender_Non-binary / third gender,employment_Retired,employment_Student,employment_Unemployed and looking for work,employment_Working full-time,employment_Working part-time,maritalStatus_Living with a partner,maritalStatus_Married,maritalStatus_Never been married,maritalStatus_Widowed,ethnicity_Black/African American,ethnicity_Hispanic/Latino,ethnicity_White/Caucasian,"ethnicity_White/Caucasian,Black/African American",timezone_America/Chicago,timezone_America/Detroit,timezone_America/Los_Angeles,timezone_America/New_York,timezone_Europe/London
0,27,1.0,2,1,1,0,4,1,1,0,159,0,0,-2,0,0,0,37.914505004882805,-122.30070495605467,20,22,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,27,1.0,0,1,3,0,4,0,1,2,12,0,1,-4,1,2,-2,37.914505004882805,-122.30070495605467,20,22,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
2,27,1.0,4,2,3,0,0,2,3,2,13,1,2,4,0,0,-2,37.914505004882805,-122.30070495605467,20,22,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
3,27,1.0,2,1,2,2,4,0,3,2,20,0,3,-2,1,-1,0,37.914505004882805,-122.30070495605467,20,22,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
4,27,1.0,0,0,2,2,2,2,2,0,87,0,4,-2,-2,0,2,37.914505004882805,-122.30070495605467,20,22,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
5,27,1.0,2,0,1,1,0,0,3,1,8,1,5,2,0,-2,0,37.914505004882805,-122.30070495605467,20,22,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6,27,1.0,4,2,2,1,4,2,1,2,30,0,6,0,0,1,-1,37.914505004882805,-122.30070495605467,20,22,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
7,27,1.0,0,1,3,2,0,2,1,1,8,1,7,0,-1,2,1,37.914505004882805,-122.30070495605467,20,22,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
8,10,1.0,2,0,2,0,0,1,2,2,288,1,0,2,-1,0,-2,53.42359924316406,-2.3112945556640625,15,7,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
9,27,1.0,0,1,2,2,2,0,2,0,11,0,8,-2,1,0,2,37.914505004882805,-122.30070495605467,20,22,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
10,27,1.0,0,0,2,1,2,2,3,1,13,1,9,-2,-2,-1,0,37.914505004882805,-122.30070495605467,20,22,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
