id,createdAt,sessionid,pairid,secElasped,chosen,order,mindChanged,l_elderlyDep,l_lifeYearsGained,l_obesity,l_weeklyWorkhours,l_yearsWaiting,r_elderlyDep,r_lifeYearsGained,r_obesity,r_weeklyWorkhours,r_yearsWaiting
1,36:00.9,10eb4618-36b7-43fa-9b14-ffd525365d47,0-10-5-4-0_1-25-3-0-0,26,0,59,0,0,10,4,0,5,1,25,0,0,3
1,30:39.9,10eb4618-36b7-43fa-9b14-ffd525365d47,0-20-1-1-50_3-20-5-1-30,7,0,32,0,0,20,1,50,1,3,20,1,30,5
1,31:43.9,10eb4618-36b7-43fa-9b14-ffd525365d47,0-20-5-3-20_0-20-3-0-30,15,1,36,0,0,20,3,20,5,0,20,0,30,3
1,34:28.0,10eb4618-36b7-43fa-9b14-ffd525365d47,0-25-1-3-20_2-5-5-4-0,18,0,51,0,0,25,3,20,1,2,5,4,0,5
1,34:47.1,10eb4618-36b7-43fa-9b14-ffd525365d47,0-25-1-3-20_3-5-5-3-20,5,0,54,0,0,25,3,20,1,3,5,3,20,5
1,33:52.3,10eb4618-36b7-43fa-9b14-ffd525365d47,0-25-1-4-10_1-20-5-3-10,9,1,48,0,0,25,4,10,1,1,20,3,10,5
1,21:14.0,10eb4618-36b7-43fa-9b14-ffd525365d47,0-5-5-0-20_3-10-5-3-20,18,1,3,0,0,5,0,20,5,3,10,3,20,5
1,33:26.7,10eb4618-36b7-43fa-9b14-ffd525365d47,1-10-1-1-20_2-5-5-0-40,14,1,45,0,1,10,1,20,1,2,5,0,40,5
1,33:13.0,10eb4618-36b7-43fa-9b14-ffd525365d47,1-10-5-1-10_0-20-3-2-10,10,1,44,0,1,10,1,10,5,0,20,2,10,3
1,22:37.8,10eb4618-36b7-43fa-9b14-ffd525365d47,1-10-7-2-0_0-5-5-4-30,10,1,10,0,1,10,2,0,7,0,5,4,30,5
1,35:34.6,10eb4618-36b7-43fa-9b14-ffd525365d47,1-20-3-2-40_3-5-5-3-10,7,0,58,0,1,20,2,40,3,3,5,3,10,5
1,21:26.9,10eb4618-36b7-43fa-9b14-ffd525365d47,1-20-5-2-0_0-5-3-3-10,13,1,4,0,1,20,2,0,5,0,5,3,10,3
1,32:27.6,10eb4618-36b7-43fa-9b14-ffd525365d47,1-20-5-2-30_3-10-7-4-50,25,1,39,0,1,20,2,30,5,3,10,4,50,7
1,27:51.8,10eb4618-36b7-43fa-9b14-ffd525365d47,1-20-5-2-50_3-5-5-2-30,55,1,24,0,1,20,2,50,5,3,5,2,30,5
1,35:27.5,10eb4618-36b7-43fa-9b14-ffd525365d47,1-20-7-2-0_1-20-5-2-50,6,1,57,0,1,20,2,0,7,1,20,2,50,5
1,22:28.2,10eb4618-36b7-43fa-9b14-ffd525365d47,1-25-3-1-10_2-10-7-3-30,22,1,9,0,1,25,1,10,3,2,10,3,30,7
1,24:20.9,10eb4618-36b7-43fa-9b14-ffd525365d47,1-25-3-4-30_3-10-3-1-0,8,0,15,0,1,25,4,30,3,3,10,1,0,3
1,31:28.9,10eb4618-36b7-43fa-9b14-ffd525365d47,1-25-5-0-0_1-20-3-1-50,21,1,35,0,1,25,0,0,5,1,20,1,50,3
1,25:07.0,10eb4618-36b7-43fa-9b14-ffd525365d47,1-25-7-0-10_0-25-7-3-30,10,1,18,0,1,25,0,10,7,0,25,3,30,7
1,32:51.0,10eb4618-36b7-43fa-9b14-ffd525365d47,1-5-3-0-0_2-25-5-4-0,5,1,42,0,1,5,0,0,3,2,25,4,0,5
1,29:45.4,10eb4618-36b7-43fa-9b14-ffd525365d47,1-5-3-0-30_3-25-7-1-10,22,1,29,1,1,5,0,30,3,3,25,1,10,7
1,32:02.9,10eb4618-36b7-43fa-9b14-ffd525365d47,1-5-5-0-10_1-5-3-4-20,11,0,38,0,1,5,0,10,5,1,5,4,20,3
1,32:45.8,10eb4618-36b7-43fa-9b14-ffd525365d47,1-5-5-2-50_1-5-7-2-20,6,0,41,0,1,5,2,50,5,1,5,2,20,7
1,30:32.6,10eb4618-36b7-43fa-9b14-ffd525365d47,1-5-5-4-20_1-20-1-0-0,7,0,31,0,1,5,4,20,5,1,20,0,0,1
1,23:16.5,10eb4618-36b7-43fa-9b14-ffd525365d47,2-10-1-3-10_0-20-7-0-40,39,1,11,0,2,10,3,10,1,0,20,0,40,7
1,34:34.7,10eb4618-36b7-43fa-9b14-ffd525365d47,2-10-7-3-40_0-20-1-4-0,7,0,52,0,2,10,3,40,7,0,20,4,0,1
1,28:48.8,10eb4618-36b7-43fa-9b14-ffd525365d47,2-20-3-1-50_1-20-5-3-20,57,0,25,0,2,20,1,50,3,1,20,3,20,5
1,34:41.7,10eb4618-36b7-43fa-9b14-ffd525365d47,2-20-5-3-20_2-10-1-0-0,7,0,53,0,2,20,3,20,5,2,10,0,0,1
1,34:09.7,10eb4618-36b7-43fa-9b14-ffd525365d47,2-25-5-3-10_2-20-3-4-20,8,1,50,0,2,25,3,10,5,2,20,4,20,3
1,29:23.7,10eb4618-36b7-43fa-9b14-ffd525365d47,2-5-1-2-20_0-20-3-0-10,23,1,28,0,2,5,2,20,1,0,20,0,10,3
1,23:50.8,10eb4618-36b7-43fa-9b14-ffd525365d47,2-5-1-4-0_2-10-5-4-30,28,1,13,0,2,5,4,0,1,2,10,4,30,5
1,26:25.7,10eb4618-36b7-43fa-9b14-ffd525365d47,2-5-5-4-40_0-10-3-2-10,79,0,19,0,2,5,4,40,5,0,10,2,10,3
1,31:51.9,10eb4618-36b7-43fa-9b14-ffd525365d47,2-5-7-4-40_0-20-1-3-50,8,0,37,0,2,5,4,40,7,0,20,3,50,1
1,26:40.9,10eb4618-36b7-43fa-9b14-ffd525365d47,3-10-3-2-0_1-10-5-3-40,6,1,21,0,3,10,2,0,3,1,10,3,40,5
1,34:53.5,10eb4618-36b7-43fa-9b14-ffd525365d47,3-10-7-1-40_2-25-5-0-20,6,1,55,0,3,10,1,40,7,2,25,0,20,5
1,24:13.3,10eb4618-36b7-43fa-9b14-ffd525365d47,3-20-3-3-40_2-20-3-3-20,23,0,14,0,3,20,3,40,3,2,20,3,20,3
1,26:34.8,10eb4618-36b7-43fa-9b14-ffd525365d47,3-20-7-2-20_0-25-7-4-40,9,1,20,0,3,20,2,20,7,0,25,4,40,7
1,21:49.1,10eb4618-36b7-43fa-9b14-ffd525365d47,3-25-1-0-30_2-25-1-1-10,8,0,6,0,3,25,0,30,1,2,25,1,10,1
1,35:21.7,10eb4618-36b7-43fa-9b14-ffd525365d47,3-25-1-2-0_3-20-3-0-10,28,1,56,0,3,25,2,0,1,3,20,0,10,3
1,22:05.8,10eb4618-36b7-43fa-9b14-ffd525365d47,3-25-1-3-50_3-20-3-2-40,9,0,8,0,3,25,3,50,1,3,20,2,40,3
1,33:03.5,10eb4618-36b7-43fa-9b14-ffd525365d47,3-25-7-0-20_1-20-3-2-40,13,0,43,0,3,25,0,20,7,1,20,2,40,3
1,24:56.5,10eb4618-36b7-43fa-9b14-ffd525365d47,3-5-1-4-30_1-5-5-1-0,6,0,17,0,3,5,4,30,1,1,5,1,0,5
1,21:56.8,10eb4618-36b7-43fa-9b14-ffd525365d47,3-5-3-0-0_2-25-5-3-30,8,1,7,0,3,5,0,0,3,2,25,3,30,5
1,34:01.8,10eb4618-36b7-43fa-9b14-ffd525365d47,3-5-3-3-50_0-20-7-1-40,10,1,49,0,3,5,3,50,3,0,20,1,40,7
1,33:37.7,10eb4618-36b7-43fa-9b14-ffd525365d47,3-5-5-3-0_1-20-5-1-0,11,1,46,0,3,5,3,0,5,1,20,1,0,5
1,30:25.7,10eb4618-36b7-43fa-9b14-ffd525365d47,3-5-7-4-40_3-10-7-1-30,40,1,30,0,3,5,4,40,7,3,10,1,30,7
1,26:43.3,10eb4618-36b7-43fa-9b14-ffd525365d47,att_1,2,1,22,0,2,-1,0,40,5,0,20,1,30,3
1,31:08.2,10eb4618-36b7-43fa-9b14-ffd525365d47,att_2,3,1,34,0,1,-1,1,40,7,0,15,2,30,7
1,26:56.8,10eb4618-36b7-43fa-9b14-ffd525365d47,easy_1,13,0,23,0,0,5,2,40,3,2,20,1,30,5
1,28:54.1,10eb4618-36b7-43fa-9b14-ffd525365d47,easy_1,6,1,26,0,0,5,2,40,3,2,20,1,30,5
1,23:22.4,10eb4618-36b7-43fa-9b14-ffd525365d47,easy_2,6,0,12,0,1,20,2,30,5,0,10,4,0,5
1,31:04.8,10eb4618-36b7-43fa-9b14-ffd525365d47,easy_2,25,1,33,0,1,20,2,30,5,0,10,4,0,5
1,20:49.0,10eb4618-36b7-43fa-9b14-ffd525365d47,easy_3,10,0,1,0,0,10,1,30,7,0,10,4,20,1
1,20:56.4,10eb4618-36b7-43fa-9b14-ffd525365d47,easy_3,7,0,2,0,0,10,1,30,7,0,10,4,20,1
1,20:39.0,10eb4618-36b7-43fa-9b14-ffd525365d47,hard_1,61,1,0,0,2,25,1,10,5,1,20,2,30,7
1,29:00.2,10eb4618-36b7-43fa-9b14-ffd525365d47,hard_1,6,1,27,0,2,25,1,10,5,1,20,2,30,7
1,24:50.9,10eb4618-36b7-43fa-9b14-ffd525365d47,hard_2,30,0,16,0,0,20,3,40,3,1,10,0,20,5
1,33:43.8,10eb4618-36b7-43fa-9b14-ffd525365d47,hard_2,6,0,47,0,0,20,3,40,3,1,10,0,20,5
1,21:41.4,10eb4618-36b7-43fa-9b14-ffd525365d47,hard_3,14,0,5,0,0,5,1,20,7,2,10,3,30,3
1,32:39.9,10eb4618-36b7-43fa-9b14-ffd525365d47,hard_3,12,1,40,0,0,5,1,20,7,2,10,3,30,3
